#Interaction type,Interactor A ID,Interactor A name,Interactor A taxid,Interactor B ID,Interactor B name,Interactor B taxid,Host organism taxid,Binding affinity type,Binding affinity value in molar,Binding affinity variation in molar,Interaction detection method,Source,EBI Interaction ID
association,uniprotkb:P68400,CSNK2A1,Homo sapiens (taxid:9606),uniprotkb:P14625,HSP90B1,Homo sapiens (taxid:9606),-,kd,0.0004,-,experimental interaction detection (MI:0045),pubmed:11557039,intact:EBI-7971392
direct interaction,uniprotkb:Q61234,Snta1,Mus musculus (taxid:10090),uniprotkb:Q60631,Grb2,Mus musculus (taxid:10090),-,kd,0.000000563,-,surface plasmon resonance (MI:0107),pubmed:11551227,intact:EBI-7963816
direct interaction,uniprotkb:Q60631,Grb2,Mus musculus (taxid:10090),uniprotkb:Q61234,Snta1,Mus musculus (taxid:10090),-,kd,0.000000355,-,enzyme linked immunosorbent assay (MI:0411),pubmed:11551227,intact:EBI-7963844
direct interaction,uniprotkb:P45481,Crebbp,Mus musculus (taxid:10090),uniprotkb:Q9Y6Q9,NCOA3,Homo sapiens (taxid:9606),-,kd,0.0000034,-,x-ray crystallography (MI:0114),pubmed:11823864,intact:EBI-8097276
direct interaction,uniprotkb:P63097,GNAI1,Bos taurus (Bovine) (taxid:9913),uniprotkb:O43566,RGS14,Homo sapiens (taxid:9606),-,kd,0.000065,-,x-ray crystallography (MI:0114),pubmed:11976690,intact:EBI-8309068
direct interaction,uniprotkb:O15143,ARPC1B,Homo sapiens (taxid:9606),uniprotkb:P42768,WAS,Homo sapiens (taxid:9606),-,kd,0.001,-,pull down (MI:0096),pubmed:11943145,intact:EBI-8292892
association,uniprotkb:P14737,RAD9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P22216,RAD53,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.0025,-,experimental interaction detection (MI:0045),pubmed:12049741,intact:EBI-8451741
association,uniprotkb:P22216,RAD53,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P14737,RAD9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.0000014,-,experimental interaction detection (MI:0045),pubmed:12049741,intact:EBI-8451760
physical association,uniprotkb:P62158,CALM1,Homo sapiens (taxid:9606),uniprotkb:Q9HCN6,GP6,Homo sapiens (taxid:9606),-,kd,0.000000035,-,classical fluorescence spectroscopy (MI:0017),pubmed:12594225,intact:EBI-8606257
association,uniprotkb:Q03898,FIN1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P29311,BMH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.0000085,-,experimental interaction detection (MI:0045),pubmed:12551942,intact:EBI-8591929
association,uniprotkb:P34730,BMH2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:Q03898,FIN1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.000585,-,experimental interaction detection (MI:0045),pubmed:12551942,intact:EBI-8591945
